jobType,jobNo,jobName,jobNameSnippet,jobRole,jobRo,jobAddrNo,jobAddrNoDesc,jobAddress,description,descWithoutHighlight,optionEdu,period,periodDesc,applyCnt,applyType,applyDesc,custNo,custName,coIndustry,coIndustryDesc,salaryLow,salaryHigh,salaryDesc,s10,appearDate,appearDateDesc,optionZone,isApply,applyDate,userApplyCount,isSave,descSnippet,tags,landmark,link,jobsource,jobNameRaw,custNameRaw,lon,lat,remoteWorkType,major,salaryType,dist,mrt,mrtDesc,isActivelyHiring
1,14655172,人力資源實習生（人力資源部）_I00016802,人力資源實習生（人力資源部）_I00016802,2,2,6001001005,台北市大安區,敦化南路二段335號20樓,"【工作內容】
•    協助執行員工訓練、招募與人資活動專案
•    協助人資系統資料維護與報表製作（如Power BI）
•    協助內部流程數位化（如流程自動化等）
•    主管交辦之其他人資相關工作

**可配合學校實習簽約","【工作內容】
•    協助執行員工訓練、招募與人資活動專案
•    協助人資系統資料維護與報表製作（如Power BI）
•    協助內部流程數位化（如流程自動化等）
•    主管交辦之其他人資相關工作

**可配合學校實習簽約",大學,00,不拘,00026,3,11~30人應徵,27236155000,國泰綜合證券股份有限公司,1004002002,證券及期貨業,0000200,0000210,時薪200~210元,30,20250522,5/22,4096,0,,0,0,"【工作內容】
•    協助執行員工訓練、招募與人資活動專案
•    協助人資系統資料維護與報表製作（如Power BI）
•    協助內部流程數位化（如流程自動化等）
•    主管交辦之其他人資相關工作

**可配合學校實習簽約","{'emp': {'desc': '員工1100人', 'param': '8'}}",距捷運六張犁站約450公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8q404?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/8q404?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/cifpbp4?jobsource=hotjob_chr'}",hotjob_chr,人力資源實習生（人力資源部）_I00016802,國泰綜合證券股份有限公司,121.5491994,25.0219942,0,[],H,0.45,99001001007,捷運六張犁站,True
1,14629971,《IS-17》【暑期+學期實習】copilot365 應用推廣實習生,《IS-17》【暑期+學期實習】copilot365 應用推廣實習生,2,2,6001006008,新竹縣寶山鄉,創新一路12號(300),"1.	了解部門內工作上較無效率或可改善的地方
2.	思考如何應用copilot改善部門工作效率與提升工作效益 
3.	以Copilot具體應用為主題建立推廣方案 
4.	獎助計畫支援--既有計畫(工時卡、設備使用表、研究紀錄簿)整理
5.	RD相關(會議安排、紀錄…)
6.	公益活動支援

*實習期間：2025/07/01~2025/12/31 開學後每周至少能進來兩天優先錄取

","1.	了解部門內工作上較無效率或可改善的地方
2.	思考如何應用copilot改善部門工作效率與提升工作效益 
3.	以Copilot具體應用為主題建立推廣方案 
4.	獎助計畫支援--既有計畫(工時卡、設備使用表、研究紀錄簿)整理
5.	RD相關(會議安排、紀錄…)
6.	公益活動支援

*實習期間：2025/07/01~2025/12/31 開學後每周至少能進來兩天優先錄取

",大學,00,不拘,00020,3,11~30人應徵,84149224000,義隆電子股份有限公司,1001006002,半導體製造業,0032000,0032000,"月薪32,000元",50,20250521,5/21,1314816,0,,0,0,"1.	了解部門內工作上較無效率或可改善的地方
2.	思考如何應用copilot改善部門工作效率與提升工作效益 
3.	以Copilot具體應用為主題建立推廣方案 
4.	獎助計畫支援--既有計畫(工時卡、設備使用表、研究紀錄簿)整理
5.	RD相關(會議安排、紀錄…)
6.	公益活動支援

*實習期間：2025/07/01~2025/12/31 開學後每周至少能進來兩天優先錄取

","{'zone': {'desc': '上市上櫃', 'param': 16}, 'emp': {'desc': '員工1050人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8pkk3?channel=104rpt&jobsource=hotjob_chr', 'job': '//www.104.com.tw/job/8pkk3?jobsource=hotjob_chr', 'cust': '//www.104.com.tw/company/12no9wsg?jobsource=hotjob_chr'}",hotjob_chr,《IS-17》【暑期+學期實習】copilot365 應用推廣實習生,義隆電子股份有限公司,120.9964708,24.7773113,0,[],M,,,,True
0,12331809,[Full time/part time]研發實習生計畫(Internship program),[Full time/part time]研發<em class='b-txt--highlight'>實習</em>生計畫(<em class='b-txt--highlight'>Internship</em> program),1,1,6001006002,新竹縣竹北市,生醫路二段6號3樓,"希望尋找一同創業打拼的優秀夥伴，
[[[實習]]]內容有:
Firmware Engineer [[[Internship]]]
Mechanical Engineer [[[Internship]]]
Product Application Researcher","希望尋找一同創業打拼的優秀夥伴，
實習內容有:
Firmware Engineer Internship
Mechanical Engineer Internship
Product Application Researcher",大學,00,不拘,00004,1,0~5人應徵,130000000148492,醫流體股份有限公司,1008003004,生化科技研發業,0000190,0000250,時薪190~250元,30,20250525,5/25,1,0,,0,0,"希望尋找一同創業打拼的優秀夥伴，
<em class='b-txt--highlight'>實習</em>內容有:
Firmware Engineer <em class='b-txt--highlight'>Internship</em>
Mechanical Engineer <em class='b-txt--highlight'>Internship</em>
Product Application Researcher",[],,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7cba9?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7cba9?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6bl5vw?jobsource=n104bank2'}",,[Full time/part time]研發實習生計畫(Internship program),醫流體股份有限公司,121.0485456,24.8062626,0,"['機械工程相關', '電機電子工程相關', '生物學相關']",H,,,,False
2,13800609,【銀角零卡】文書行政長期實習生(學年實習計畫2025/7～),【銀角零卡】文書行政長期<em class='b-txt--highlight'>實習</em>生(學年<em class='b-txt--highlight'>實習</em>計畫2025/7～),2,2,6001001010,台北市內湖區,內湖路一段392號(捷運港墘站2號出口走路2分鐘),"【工作內容】
1. 文件掃描、整理、抽取、歸檔
2. 信件/訊息寄送與收發
3. 資料查找、調閱、登打
4. 其他主管交辦事項

※可配合學校簽署[[[實習]]]合約
※[[[實習]]]期間(學年)：2025/7-2026/6，亦可視同學需求長期配合
※上班時間：週一~","【工作內容】
1. 文件掃描、整理、抽取、歸檔
2. 信件/訊息寄送與收發
3. 資料查找、調閱、登打
4. 其他主管交辦事項

※可配合學校簽署實習合約
※實習期間(學年)：2025/7-2026/6，亦可視同學需求長期配合
※上班時間：週一~",高中,00,不拘,00007,2,6~10人應徵,5072925000,中租控股_中租迪和股份有限公司,1004001006,其他金融及輔助業,0000200,0000200,時薪200元,30,20250525,5/25,6295680,0,,0,0,"【工作內容】
1. 文件掃描、整理、抽取、歸檔
2. 信件/訊息寄送與收發
3. 資料查找、調閱、登打
4. 其他主管交辦事項

※可配合學校簽署<em class='b-txt--highlight'>實習</em>合約
※<em class='b-txt--highlight'>實習</em>期間(學年)：2025/7-2026/6，亦可視同學需求長期配合
※上班時間：週一~","{'emp': {'desc': '員工3000人', 'param': '8'}}",距捷運港墘站約200公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/87sm9?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/87sm9?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/2bwadzc?jobsource=n104bank2'}",,【銀角零卡】文書行政長期實習生(學年實習計畫2025/7～),中租控股_中租迪和股份有限公司,121.5732412,25.0804568,0,[],H,0.2,99001001017,捷運港墘站,True
2,13861101,保經後台行政實習生,保經後台行政<em class='b-txt--highlight'>實習</em>生,1,1,6001001010,台北市內湖區,瑞光路358巷30弄1號1樓(太欣半導體大樓),"歡迎金融保險相關科系 或對保險後台流程有興趣者投遞
履歷採先到先審制，額滿為止!

1.[[[實習]]]期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少[[[實習]]]3天 (9:00-17:30)
【工作內容】
1.公文及文件處理
     •協助外部公","歡迎金融保險相關科系 或對保險後台流程有興趣者投遞
履歷採先到先審制，額滿為止!

1.實習期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少實習3天 (9:00-17:30)
【工作內容】
1.公文及文件處理
     •協助外部公",專科,02,1年,0,1,0~5人應徵,5072925000,中租控股_中租迪和股份有限公司,1004001006,其他金融及輔助業,0000200,0000200,時薪200元,30,20250525,5/25,2101376,0,,0,0,"歡迎金融保險相關科系 或對保險後台流程有興趣者投遞
履歷採先到先審制，額滿為止!

1.<em class='b-txt--highlight'>實習</em>期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少<em class='b-txt--highlight'>實習</em>3天 (9:00-17:30)
【工作內容】
1.公文及文件處理
     •協助外部公","{'emp': {'desc': '員工3000人', 'param': '8'}}",距捷運港墘站約460公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/893al?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/893al?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/2bwadzc?jobsource=n104bank2'}",,保經後台行政實習生,中租控股_中租迪和股份有限公司,121.5724805,25.0767128,0,[],H,0.46,99001001017,捷運港墘站,False
2,12879443,中租保經行政實習生(高雄)-歡迎夜間部學生,中租保經行政<em class='b-txt--highlight'>實習</em>生(高雄)-歡迎夜間部學生,2,2,6001016007,高雄市前鎮區,民權二路6號22樓,"歡迎保險金融相關系所在學生投遞!!

1.[[[實習]]]期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少[[[實習]]]3天 (9:00-17:30)
3.[[[實習]]]地點：高雄分公司
4.申請日期：即日起至額滿止
5.工作內容：
(1)文書作業 (投保文件檢核","歡迎保險金融相關系所在學生投遞!!

1.實習期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少實習3天 (9:00-17:30)
3.實習地點：高雄分公司
4.申請日期：即日起至額滿止
5.工作內容：
(1)文書作業 (投保文件檢核",大學,00,不拘,00003,1,0~5人應徵,5072925000,中租控股_中租迪和股份有限公司,1004001006,其他金融及輔助業,0000200,0000200,時薪200元,30,20250525,5/25,2101376,0,,0,0,"歡迎保險金融相關系所在學生投遞!!

1.<em class='b-txt--highlight'>實習</em>期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少<em class='b-txt--highlight'>實習</em>3天 (9:00-17:30)
3.<em class='b-txt--highlight'>實習</em>地點：高雄分公司
4.申請日期：即日起至額滿止
5.工作內容：
(1)文書作業 (投保文件檢核","{'emp': {'desc': '員工3000人', 'param': '8'}}",距捷運獅甲站約200公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7o1ub?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7o1ub?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/2bwadzc?jobsource=n104bank2'}",,中租保經行政實習生(高雄)-歡迎夜間部學生,中租控股_中租迪和股份有限公司,120.3097059,22.604979,0,"['銀行保險相關', '財稅金融相關', '商業及管理學科類']",H,0.2,99004001006,捷運獅甲站,False
2,12916149,中租保經行政實習生(中壢)-歡迎夜間部學生,中租保經行政<em class='b-txt--highlight'>實習</em>生(中壢)-歡迎夜間部學生,2,2,6001005001,桃園市中壢區,環北路400號7樓之5,"歡迎保險金融相關系所在學生投遞!!

1.[[[實習]]]期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少[[[實習]]]3天 (9:00-17:30)
3.[[[實習]]]地點：中壢分公司
4.申請日期：即日起至額滿止
5.工作內容：
(1)文書作業 (投保文件檢核","歡迎保險金融相關系所在學生投遞!!

1.實習期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少實習3天 (9:00-17:30)
3.實習地點：中壢分公司
4.申請日期：即日起至額滿止
5.工作內容：
(1)文書作業 (投保文件檢核",大學,00,不拘,00003,1,0~5人應徵,5072925000,中租控股_中租迪和股份有限公司,1004001006,其他金融及輔助業,0000200,0000200,時薪200元,30,20250525,5/25,2101376,0,,0,0,"歡迎保險金融相關系所在學生投遞!!

1.<em class='b-txt--highlight'>實習</em>期間：起迄日不拘，可配合半年(含)以上
2.工作時間：每週至少<em class='b-txt--highlight'>實習</em>3天 (9:00-17:30)
3.<em class='b-txt--highlight'>實習</em>地點：中壢分公司
4.申請日期：即日起至額滿止
5.工作內容：
(1)文書作業 (投保文件檢核","{'emp': {'desc': '員工3000人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7ou5x?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7ou5x?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/2bwadzc?jobsource=n104bank2'}",,中租保經行政實習生(中壢)-歡迎夜間部學生,中租控股_中租迪和股份有限公司,121.2262386,24.9654069,0,"['銀行保險相關', '財稅金融相關', '商業及管理學科類']",H,,,,False
2,14069584,《實習》人力資源處-訓練規劃實習生,《<em class='b-txt--highlight'>實習</em>》人力資源處-訓練規劃<em class='b-txt--highlight'>實習</em>生,2,2,6001001003,台北市中山區,八德路二段306號,"【工作內容】
1. 協助全行訓練證照維護、進修補助、費用申請
2. 協助教育訓練等課務作業 (如：課程開辦前置作業)
3. 管理內外部訓練課程及平台
4. 課程影片剪輯及圖文設計
5. 其他主管交辦事項","【工作內容】
1. 協助全行訓練證照維護、進修補助、費用申請
2. 協助教育訓練等課務作業 (如：課程開辦前置作業)
3. 管理內外部訓練課程及平台
4. 課程影片剪輯及圖文設計
5. 其他主管交辦事項",大學,00,不拘,00008,2,6~10人應徵,86517384000,永豐商業銀行股份有限公司,1004001001,銀行業,0000210,0000230,時薪210~230元,30,20250525,5/25,36992,0,,0,0,"【工作內容】
1. 協助全行訓練證照維護、進修補助、費用申請
2. 協助教育訓練等課務作業 (如：課程開辦前置作業)
3. 管理內外部訓練課程及平台
4. 課程影片剪輯及圖文設計
5. 其他主管交辦事項","{'emp': {'desc': '員工6500人', 'param': '8'}}",,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/8dk5s?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/8dk5s?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/13qu7sqo?jobsource=n104bank2'}",,《實習》人力資源處-訓練規劃實習生,永豐商業銀行股份有限公司,121.5425651,25.0468778,0,[],H,,,,True
0,12712898,實習律師,<em class='b-txt--highlight'>實習</em>律師,1,1,6001001005,台北市大安區,敦化南路二段180號17號,"*[[[實習]]]律師有大量跟隨開庭、與客戶開會、與客戶面對面接觸及撰擬各式書狀的學習機會。
*除了指導律師，事務所內也有其他實任律師可以隨時討論，互相切磋成長。
*訴訟及非訟的業務均可接觸。
*上班時間正常，絕無大量或長期加班的情形。
*事務所團隊氣氛非常","*實習律師有大量跟隨開庭、與客戶開會、與客戶面對面接觸及撰擬各式書狀的學習機會。
*除了指導律師，事務所內也有其他實任律師可以隨時討論，互相切磋成長。
*訴訟及非訟的業務均可接觸。
*上班時間正常，絕無大量或長期加班的情形。
*事務所團隊氣氛非常",大學,00,不拘,00006,2,6~10人應徵,130000000186545,富達法律事務所,1008001001,法律服務業,0035000,0045000,"月薪35,000~45,000元",50,20250525,5/25,0,0,,0,0,"*<em class='b-txt--highlight'>實習</em>律師有大量跟隨開庭、與客戶開會、與客戶面對面接觸及撰擬各式書狀的學習機會。
*除了指導律師，事務所內也有其他實任律師可以隨時討論，互相切磋成長。
*訴訟及非訟的業務均可接觸。
*上班時間正常，絕無大量或長期加班的情形。
*事務所團隊氣氛非常",[],距捷運六張犁站約490公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/7khc2?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/7khc2?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/1a2x6blz8x?jobsource=n104bank2'}",,實習律師,富達法律事務所,121.5483055,25.0237182,0,['法律學科類'],M,0.49,99001001007,捷運六張犁站,True
2,13669057,【學生實習】汽車租賃業務助理實習生 - 歡迎夜間部學生,【學生<em class='b-txt--highlight'>實習</em>】汽車租賃業務助理<em class='b-txt--highlight'>實習</em>生 - 歡迎夜間部學生,2,2,6001001010,台北市內湖區,台北市內湖區洲子街61號8樓,"本文書作業
4.其他主管交辦事項

•[[[實習]]]期間：2025/7~2026/6(學年制)
•上班時間：週一~週五 09:00~17:30，可配合學校簽約
•不限科系，歡迎夜間部同學及能配合上班時間日間部同學
•[[[實習]]]期間表現優異者，優先轉為正職員工

歡","本文書作業
4.其他主管交辦事項

•實習期間：2025/7~2026/6(學年制)
•上班時間：週一~週五 09:00~17:30，可配合學校簽約
•不限科系，歡迎夜間部同學及能配合上班時間日間部同學
•實習期間表現優異者，優先轉為正職員工

歡",高中,00,不拘,00001,1,0~5人應徵,5072925000,中租控股_中租迪和股份有限公司,1004001006,其他金融及輔助業,0031100,0031100,"月薪31,100元",50,20250525,5/25,6295680,0,,0,0,"本文書作業
4.其他主管交辦事項

•<em class='b-txt--highlight'>實習</em>期間：2025/7~2026/6(學年制)
•上班時間：週一~週五 09:00~17:30，可配合學校簽約
•不限科系，歡迎夜間部同學及能配合上班時間日間部同學
•<em class='b-txt--highlight'>實習</em>期間表現優異者，優先轉為正職員工

歡","{'emp': {'desc': '員工3000人', 'param': '8'}}",距捷運港墘站約230公尺,"{'applyAnalyze': '//www.104.com.tw/jobs/apply/analysis/84z41?channel=104rpt&jobsource=apply_analyze', 'job': '//www.104.com.tw/job/84z41?jobsource=n104bank2', 'cust': '//www.104.com.tw/company/2bwadzc?jobsource=n104bank2'}",,【學生實習】汽車租賃業務助理實習生 - 歡迎夜間部學生,中租控股_中租迪和股份有限公司,121.5729239,25.0796673,0,[],M,0.23,99001001017,捷運港墘站,False
