job_name,comp_name,job_desc,job_tags
【AmazingTalker】影音實習生-剪輯 | 行銷 （無經驗可）,AmazingTalker,"About Us
AmazingTalker 致力建立一個全方位的&nbsp;線上教學平台，讓任何人都可以找到最適合自己的&nbsp;家教，以不斷提昇線上教師收入為使命。始於 2017 年，目前平台上約有 10,000 名教師、超過 220 萬名學生，以及進行 550 萬","['Media & Social Media', 'Media Production', 'Maketing', '']"
行銷企劃實習生Marketing Intern,上策行銷有限公司 Bespo Marketing,【Bespo實習生培訓系統】第一步、到職註冊第二步、口碑行銷基礎概念培訓第三步、初試考核 (到職滿一個月)考核六項口碑行銷基礎能力通過與否將決定實習生之去留通過者將進入第二階段完整寫,"['excel', 'powerpoint', 'word']"
空間設計實習生,非我設計｜UNME DESIGN,"公司內部的任務涵蓋品牌設計、空間設計、建築、市場、行銷、廣告投放等領域，請先至 UNME 官網理解我們的商業模式，並在應徵實習生時清楚說明：

你希望在 UNME 學習的面向
你的個人特質與專長
預計實習","['Slack', 'SketchUp', 'Notion', '']"
行銷實習生,智谷網絡股份有限公司,"【在投遞之前】
“將知識傳播給更多人知道; 促動他人的成長，是種渾然天成的熱忱！”
如果你能夠體會並認同以上這段話，歡迎參與這次我們的招募計畫。
因為，這是我們立基20多年的文化，
20多年學習","['台北', 'Premiere', 'final cut pro', '']"
JAVA 助理工程師 (工讀/實習) (需會Java程式)﻿ 每周白天須至公司2~3天 (不接受遠端與短期工讀),雲集科技行銷有限公司,如果您想有全方位的系統開發建置學習機會，想要挑戰系統開發的領域，未來想要能獨當一面，而不是只在大公司裡當個螺絲釘人才，我們會是你的選擇。&nbsp; &nbsp;公司專案項目：既有系統維護除錯、客製化,"['SQL', 'AJAX', 'XML', '']"
※學習型※ Web3 數位行銷規劃培訓/實習生【免費培訓/無給薪實習（Free Training/Unpaid Internship）】,Crypto-Arsenal（奇策智能雲端股份有限公司）,"本學習型實習計劃針對以下兩種人才所設計：
想轉職成為符合業界標準具即戰力的 Web3 數位行銷人才尚在學學生希望在畢業前體驗業界實務經驗，並累積影音作品集
招收對以下有興趣者：
區塊",['Canva']
※學習型※ Web3 前、後端軟體研發、DeFi 協議設計、ZKP 研究培訓/實習生【免費培訓/無給薪實習（Free Training/Unpaid Internship）】,Crypto-Arsenal（奇策智能雲端股份有限公司）,"本學習型實習計劃針對以下兩種人才所設計：
想轉職成為符合業界標準具即戰力的 Web3 軟體開發人才尚在學學生希望在畢業前體驗業界實務經驗，並累積 Github 作品集※此網站是我們指導培訓實習","['javescript', 'React.js', 'TypeScript', '']"
付費運營實習生,MEXC,"付費渠道優化和拓展： 精通在各種廣告平台上優化活動，包括Google, Meta廣告、廣告網絡、TikTok廣告等。 數據驅動優化：圍繞核心 KPI（例如ROAS、CPA等），跟蹤、分析和優化每個活動，以識別優化用戶渠道的機會，分解覆",[]
台股/數幣量化交易實習生,衍盛金融科技有限公司,"交易有濃厚興趣；3. 有團隊意識，樂於溝通。
【如果你想加入...】• 請告知你希望申請台股或數幣實習；•請提供你的履歷，讓我們認識你的經歷及背景； • 若有相關工作經驗，請簡述該經驗;• 請告訴我們","['statsmodels', 'Quantitative Trading', 'pytorch', '']"
軟體測試工程師助理(實習工讀生) (策略與新創事業部/數位開發中心)-歡迎學年實習 資訊科系學生,TVBS聯利媒體股份有限公司,TVBS開發團隊對於軟體的品質有最高的要求。我們致力於以穩定的開發速率，持續地交付有價值的軟體來滿足客戶需求，並以全局為考量穩定改善團隊及消除多餘的浪費。我們深信最佳的架構與,"['台灣台北', 'word', 'Function Test', '']"
日本商務開發實習生 Japanese Business Development Intern,GliaCloud 集雅科技,協助 GliaCloud 產品推廣至日本業務銷售及提案充分理解 GliaCloud 產品，與日本客戶開會、維護客戶關係並提供顧問服務協助準備海內外行銷活動、展覽與材料文件蒐集市場情報，分析策略並撰寫報告書其他,[]
創新實驗室-商業開發助理/行政助理/實習工讀生 (數位健康),永悅健康股份有限公司,"H2U 為台灣最大數位健康服務平台，2019 年獲選為 IFAH全球前50 大數位健康照護公司，目標是建立創新數位健康生態圈、走向國際，成為全球華人數位健康第一品牌。

為了讓H2U 各業務能專注服務客戶引","['儲備幹部', '主管特別助理', '市場調查／市場分析ㄝExcel', '']"
※學習型※ Web3 - App UI/UX 培訓/實習設計師【免費培訓/無給薪實習（Free Training/Unpaid Internship）】,Crypto-Arsenal（奇策智能雲端股份有限公司）,"本學習型實習計劃針對以下三種人才所設計：
想轉職成為符合業界標準具即戰力的 UIUX 與 PO 人才尚在學學生希望在畢業前體驗業界實務經驗，並累積作品集已在職 Web2 UIUX 設計師，想要轉換跑道到","['Figma基礎功能', 'figma(學習中)']"
Video Intern 社群影音實習生,Cake,"Cake 社群帳號的快速成長，我們計畫發展更多的短影音和 YouTube 長片內容，我們正在積極尋找 社群影音實習生 加入我們的台灣行銷團隊。
身為 Cake 行銷團隊的一員，期待你能夠透過創意靈活、成效顯著的","['社群行銷', '社群企劃', '影音剪輯', '']"
課程行政助理 (工讀/實習),言果學習股份有限公司,我們是一家致力於「企業培訓」的公司，提供各種人力資源解決方案，例如：實體課程、數位課程、混合式培訓和AI互動學習，客戶主要是上市上櫃公司及外商企業。我們喜歡探索新的教學方法，並致力於,[]
Recruitment Consultant Intern — 人才招募顧問實習生 (提供轉正職機會),Cake,"關於 Cake&nbsp;
Cake 是 2016 年成立於台灣的國際人才社群，以「聚焦人才的價值與歸屬」為核心，提供履歷與作品集 AI 工具、求職攻略、職場交流社群資源及國際化工作機會，全方位滿足職涯發展中的所有需求。Cake","['獵頭', '獵才', '招募顧問', '']"
獵才顧問實習生 / Recruitment Consultant (歡迎新鮮人),Accurate愛客獵-1111高階獵才中心,Accurate愛客獵 是1111人力銀行集團旗下唯一獵才品牌。自2008年成立高階獵才中心，於2021年獨立服務品牌公司。服務企業遍及台灣、亞太、歐美地區，招募範疇涵蓋經營管理、財務金融、業務行銷、工程技術、資訊,"['實習', '獵頭', 'headhunt', '']"
市場行銷實習生,非我設計｜UNME DESIGN,"設計、行銷與數位媒體有熱情，並希望累積實務經驗、學習跨部門協作與專案管理，歡迎加入我們的實習行列。
∞ 建議規劃半年以上的實習長度，較能獲得完整的學習。
目前公司內部的任務涵蓋品牌設","['Word', 'Slack', 'PowerPoint', '']"
SEO商務開發實習生,零一成長行銷有限公司,力，歡迎你主動提出想法你可以與創辦人或PM一起提升專案的高度與極限！參加過我們戰鬥營及實習計畫的同學，有錄取dcard、綠藤生機、嬌生、L’oreal等知名公司及國外知名研究所，只要你敢夢也有行,[]
行銷實習生 Marketing Intern,COMMEET＿擁樂數據服務股份有限公司,金流服務，期待以科技落實費用管理，並攜手企業為員工打造更友善的工作環境。[職務定義]COMMEET 行銷實習生將參與短影音企劃與製作，親身體驗如何透過客戶訪談與產品影片呈現品牌價值；經營 SEO,[]
資訊助理  ( 網頁設計/ 前端 /專案管理 )  在校 工讀 / 實習，每周至少2-3天需到公司上班( 不接受遠端),雲集科技行銷有限公司,"如果您想有全方位的系統流程設計、系統分析、專案管理 學習機會，想要挑戰系統建置的領域，未來想要能獨當一面，而不是只在大公司裡當個螺絲釘人才，我們會是你的選擇。&nbsp;
公司專案項目：客製化","['新竹市東區', '新竹市', '新竹']"
SEO consultant intern（SEO行銷顧問實習生）,零一成長行銷有限公司,力，歡迎你主動提出想法你可以與創辦人或PM一起提升專案的高度與極限！參加過我們戰鬥營及實習計畫的同學，有錄取dcard、綠藤生機、嬌生、L’oreal等知名公司及國外知名研究所，只要你敢夢也有行,"['SEO Optimization', 'SEO COPYWRITING', 'SEO', '']"
【兼職/實習】營運客服（假日班、可遠端）,Tracle 垃可,"職位：【兼職/實習】營運客服

工作環境
鼓勵學習與不斷成長：Tracle 鼓勵夥伴自主學習，除了每月贊助的學習獎勵金之外，公司也是 AAMA 台北搖籃計畫 #13、SLP 創業社群 #11、AppWorks #29、<a href=""https://protostar.line.","['生活服務', '物流', '營運', '']"
海外行銷運營實習生(TH/VN/ID) - 泰越印 (非短期寒暑假實習),玩美行動股份有限公司,ยินดีต้อนรับผู้สมัครสัญชาติไทย โดยต้องมีความสามารถด้านภาษาจีนChúng tôi hoan nghênh các ứng viên người Việt Nam. Ứng viên cần có khả năng tiếng Trung.Kami menyambut pelamar asal Indonesia. Kandidat harus memiliki kemampuan bahasa Mandarin.【泰越印市場行銷實習生】 招募中！熱烈歡迎泰越印籍在台學生加入！如果你熱愛拍照修圖、是社群媒體重度使用者,"['行銷', '社群行銷', '社群經營', '']"
C# 後端 API 開發實習生 (每週需排班四天以上 需有Web經驗跟作品),APPX時賦科技有限公司,"業的績效管理系統、企業預算審核平台等。
工作上，會有RD team leader協助規劃系統架構，分派開發項目給實習生參與，
並依據實習生的能力調整分派項目，
實習生會直接參與業界在開發上的專案過程。
目","['NodeJS', 'JAVA', 'intern', '']"
企劃編輯實習生,朱墨文化印刷事業有限公司,"我們正在尋找文筆流暢、熱愛寫作的你——喜歡觀察生活、關心時事，擅長與人合作，也能獨立完成任務。如果你熟悉社群操作、對議題有敏感度、對內容有熱情，歡迎加入我們的編輯行列！
在這裡，你將接觸","['pages', 'OmniGraffle', 'Numbers', '']"
DevOps 實習生,GliaCloud 集雅科技,"作為 DevOps 實習工程師日常工作內容不僅是維護現有系統的穩定性，你還將參與和推動各團隊技術的前沿發展，用科技創造價值。

職責：
優化 CI/CD 流程，確保系統的高可用性。參與日常系統維運和監","['DevOps / CI / CD', 'AI', 'DevOps']"
歐美市場行銷實習生(Global Marketing Intern) (美加外籍來台留學生)( Foreign students are preferred),玩美行動股份有限公司,每週至少可排班20小時以上 (24小時以上尤佳)2. 中文&英文 - 聽說讀寫精通，語言能力要求須符合: 多益860以上 / 托福110以上 / 雅思7以上3. 此為半年以上長期實習職缺※不適用者不另行通知,"['PowerPoint', 'Excel']"
媒體實習生,MEXC,負責協助pr組做媒體對接要求：配合度高，抗壓能力強，中英文可以作為辦公語言,[]
Overseas' Business Development Intern: Philippines (海外商務開發實習生: 菲律賓),GliaCloud 集雅科技,"Initiate business development in overseas market to promote GliaCloud’s product and propose potential partnships to overseas clients.Understand GliaCloud’s products and maintain client relationship by providing proactive guidance, consultations and insights.Assist in maintaining and updating sales and marketing events materials.Compile reports with proper market/industry research information and strategic analysis.Other responsibilities as determined b","['Business Development', 'Business', 'Sales & Customer Service', '']"
社群與內容製作實習生 (非短期寒暑假實習),玩美行動股份有限公司,本職缺將以【社群內容發想與製作】為核心，參與多款 APP 的社群媒體內容製作與創意發想 --- 打造最吸睛的社群素材，追蹤海外各市場的社群內容的趨勢，參與社群媒體的經營與優化，期待你可以透過,"['行銷', '社群行銷', '社群經營', '']"
Business Development Intern: Thailand(海外商務開發實習生: 泰國),GliaCloud 集雅科技,"工作內容:
1. Initiate business development in overseas markets to promote GliaCloud's product and propose potential partnerships to overseas clients.2. Understand GliaCloud's products and maintain client relationships by providing proactive guidance, consultations, and insights.3. Assist in maintaining and updating sales and marketing event materials.4. Compile reports with market/industry research information and strategic analysis.5. Other responsibilities as","['Account Executive', 'Business Development']"
marketing automation intern 行銷自動化系統實習生,零一成長行銷有限公司,力，歡迎你主動提出想法你可以與創辦人或PM一起提升專案的高度與極限！參加過我們戰鬥營及實習計畫的同學，有錄取dcard、綠藤生機、嬌生、L’oreal等知名公司及國外知名研究所，只要你敢夢也有行,"['Application Development', 'Github', 'python']"
商務開發實習生,17FIT,17FIT為發展全台最大的運動課程電商平台，現正強力招募商務開發實習生！歡迎熱愛運動/健身，活潑開朗/不怕生人的你，加入我們的行列！商務開發實習生的主要工作，在於&nbsp;：1. 對公司所提供的,['']
海外行銷運營實習生(TW/JP/KR) - 台日韓 (非短期寒暑假實習),玩美行動股份有限公司,【台日韓市場行銷實習生】 招募中！如果你熱愛拍照修圖、是社群媒體重度使用者、了解年輕人最新流行趨勢，歡迎投遞履歷！加入我們，你將負責或參與這些工作內容：◆官方社群經營 (IG/Twitter/Tiktok等,"['行銷', '社群行銷', '社群經營', '']"
人事行政實習生 (HR & Admin Intern) (非寒暑假短期 & 歡迎應屆畢業生）,玩美行動股份有限公司,美圖產品用戶在全球皆高速增長，不斷求新求變、跟進AIGC趨勢，持續優化產品功能及用戶體驗，創造多國佳績！若你/妳熱衷在人事行政領域上累積經驗並且充滿滿滿滿的自信可以在這崗位上發,"['Word', 'powerpoint', 'Photoshop', '']"
人力資源部_實習生(HR Intern),美好證券 Good Finance,把「人」的事情做對了，創新和績效會自然而來。我們在尋找一位細心、富有愛心和同理心的人力資源實習生，協助人資主管各項人力資源工作，把公司理念落實到每一個制度設計環節中並加以實踐,"['Word', 'PowerPoint', 'Google Drive', '']"
Quality Assurance Internship 品質測試實習生,inline 樂排股份有限公司,"Inline is looking for a Quality Assurance Intern with a career interest in Software as a Service (SaaS) Engineer role.
inline makes restaurants smarter. Our software system was designed from the ground-up specifically for restaurants - it helps manage their tables, reservations, and in-person queues so they can focus purely on delivering the best experience possible for their patrons. The inline SaaS solution is used by thousands of restaurants around the world - from","['QA', 'Quality Assurance', 'Intern', '']"
"技術產品經理實習生 (Intern, Technical Product Manager)",樂堤科技 FUNTEK,我們正在尋找一位熱情且積極主動的技術產品經理實習生，加入我們團隊，協助推動產品的成功交付。你將能夠透過實際參與軟體專案，以及產品開發流程，深入了解並累積的專案與產品管理經,"['PowerPoint', 'Postman - API Testing', 'Keynote', '']"
QA Intern / PT (Software)（實習生）,BitoGroup 幣託科技股份有限公司,測試。執行軟體測試，完成軟體測試報告。錯誤追蹤管理及驗證，並提供改善建議。Web / iOS / Android / API 相關測試工作。主管交辦事項。觀看QA實習生介紹影片：https://drive.google.com/file/d/17G-viyQmhQ7qQNUHsAhRYhQ8fDWMsVxK/view?usp=sharing,"['小巨蛋捷運站', 'iOS', 'Android', '']"
影音製作實習生,超合金影音廣告社,"拍攝執行到後製剪輯，完成商業影片製作。
工作時間：每週至少進公司3天工作內容：影音製作助理，企劃發想、資料蒐集、拍攝現場執行、影片後製(剪輯上字、整理素材)、攝影棚管理。
每月提供實習車馬費",['Premiere']
QA Intern / QA 測試實習生,SWAG,"串流內容。SWAG Live 持續擴大其全球影響力，並正在尋找對測試領域充滿興趣、願意學習且細心負責的 實習生 來協助 QA 團隊進行測試工作。

這將是進入 軟體測試領域 的絕佳機會，適合大四以上學生或",[]
影片拍攝、廣告拍攝(實習可),IBBA 無疆界品牌顧問,"我們正在尋找：
對創意影像充滿熱情的你，加入我們的團隊，共同打造專屬於實體產業的精彩廣告影片！我們的客戶涵蓋了各類實體高價值服務，從美業、醫美、牙美，到高價位實體課程等不同領域。
你",[]
📷 電商行銷實習生/工讀生 Intern 招募中 📷,Tripplus Travel Service Inc.,"驗』加分
【薪資待遇】$190~$210 /hr，過試用期2個禮拜即可調整
【連絡方式】[email protected]
信件主旨：請寫『應徵實習生』
【工作地點】捷運小巨蛋站
【工作時間】每周最少需出勤3天，週一到五9:00-17:30午休一小時
👉",['Communication']
